STT,CCA3,Country/Territory,Continent,Area (km²),Capital,Num,City,Done Day,Done Hour
1,MAC,Macau,Asia,30,Concelho de Macau,1,Concelho de Macau,ok,
2,MDV,Maldives,Asia,300,Malé,1,Malé,ok,
3,SGP,Singapore,Asia,710,Singapore,1,Singapore,ok,
4,BHR,Bahrain,Asia,765,Manama,1,Manama,ok,
5,HKG,Hong Kong,Asia,1104,Hong Kong,1,Hong Kong,ok,
6,BRN,Brunei,Asia,5765,Bandar Seri Begawan,1,Bandar Seri Begawan,ok,
7,PSE,Palestine,Asia,6220,Ramallah,1,Ramallah,ok,
8,LBN,Lebanon,Asia,10452,Beirut,2,"Beirut, Baalbek",ok,
9,QAT,Qatar,Asia,11586,Doha,2,"Doha, Al Ruwais",ok,
10,TLS,Timor-Leste,Asia,14874,Dili,2,"Dili, Lautem",ok,
11,KWT,Kuwait,Asia,17818,Kuwait City,2,"Kuwait City, Ahmadi",ok,
12,ISR,Israel,Asia,20770,Jerusalem,2,"Jerusalem, Haifa",ok,
13,ARM,Armenia,Asia,29743,Yerevan,2,"Yerevan, Meghri",ok,
14,TWN,Taiwan,Asia,36193,Taipei,2,"Taipei, Kaohsiung",ok,
15,BTN,Bhutan,Asia,38394,Thimphu,2,"Thimphu, Mongar",ok,
16,LKA,Sri Lanka,Asia,65610,Colombo,2,"Colombo, Jaffna",ok,
17,GEO,Georgia,Asia,69700,Tbilisi,2,"Tbilisi, Sukhumi",ok,
18,ARE,United Arab Emirates,Asia,83600,Abu Dhabi,3,"Abu Dhabi, Ras Al-Khaimah, Kalba",ok,
19,AZE,Azerbaijan,Asia,86600,Bakou,3,"Bakou, Zangilan, Sheki",ok,
20,JOR,Jordan,Asia,89342,Amman,3,"Amman, Aqaba, Irbid",ok,
21,KOR,South Korea,Asia,100210,Seoul,3,"Seoul, Busan, Gwangju",ok,
22,PRK,North Korea,Asia,120538,Pyongyang,3,"Pyongyang, Sinuiju, Chongjin",ok,
23,TJK,Tajikistan,Asia,143100,Dushanbe,3,"Dushanbe, Murghab, Kansay",ok,
24,NPL,Nepal,Asia,147181,Kathmandu,3,"Kathmandu, Dharan, Kagbeni",ok,
25,BGD,Bangladesh,Asia,147570,Dhaka,3,"Dhaka, Rajshahi, Chittagong",ok,
26,KHM,Cambodia,Asia,181035,Phnom Penh,3,"Phnom Penh, Pailin, Banlung",ok,
27,SYR,Syria,Asia,185180,Damascus,3,"Damascus, Idlib, Al Qamishli",ok,
28,KGZ,Kyrgyzstan,Asia,199951,Bishkek,3,"Bishkek, Kara-Suu, Naryn",ok,
29,LAO,Laos,Asia,236800,Vientiane,3,"Vientiane, Muang Sing, Muang Phonsavan",ok,
30,OMN,Oman,Asia,309500,Muscat,3,"Muscat, Salalah, Haima",ok,
31,MYS,Malaysia,Asia,330803,Kuala Lumpur,3,"Kuala Lumpur, Simunjan, Nabawan",ok,
32,VNM,Vietnam,Asia,331212,Hanoi,3,"Hanoi, Da Nang, Ho Chi Minh",ok,
33,PHL,Philippines,Asia,342353,Manila,3,"Manila, Iloilo City, Koronadal City",ok,
34,JPN,Japan,Asia,377930,Tokyo,3,"Tokyo, Aomori, Nagasaki",ok,
35,IRQ,Iraq,Asia,438317,Baghdad,3,"Baghdad, Al-Samawa, Koysinjaq",ok,
36,UZB,Uzbekistan,Asia,447400,Tashkent,3,"Tashkent, Qarshi, Nukus",ok,
37,TKM,Turkmenistan,Asia,488100,Ashgabat,3,"Ashgabat, Turkmenbashy, Gowurdak",ok,
38,THA,Thailand,Asia,513120,Bangkok,4,"Bangkok, Ubon Ratchathani, Chiang Mai, Songkhla",ok,
39,YEM,Yemen,Asia,527968,Sanaa,4,"Sanaa, Al Ghaydah, Al Mukalla, Lahij",ok,
40,AFG,Afghanistan,Asia,652230,Kabul,4,"Kabul, Taleqan, Kandahar, Ghurmach",ok,
41,MMR,Myanmar,Asia,676578,Nay Pyi Taw,4,"Nay Pyi Taw, Zalun, Myitkyina,Hakha",ok,
42,TUR,Turkey,Asia,783562,Ankara,4,"Ankara, Izmir, Gaziantep, Erzurum",ok,
43,PAK,Pakistan,Asia,881912,Islamabad,4,"Islamabad, Karachi, Multan, Quetta",ok,
44,MNG,Mongolia,Asia,1564110,Ulaanbaatar,5,"Ulaanbaatar, Olgi, Bayanbulag, Matad, Nomgon",ok,
45,IRN,Iran,Asia,1648195,Tehran,5,"Tehran, Kermanshah, Isfahan, Hajjiabad,Birjand",ok,
46,IDN,Indonesia,Asia,1904569,Jakarta,5,"Jakarta, Kupang, Malilau, Medan, Panopa",ok,
47,SAU,Saudi Arabia,Asia,2149690,Riyadh,5,"Riyadh, Hazem Aljalamid, Medina, Al-Obailah,Najran",ok,
48,KAZ,Kazakhstan,Asia,2724900,Nursultan,5,"Nursultan, Qostanay, Almaty, Sholakespe,Atyrau",ok,
49,IND,India,Asia,3287590,New Delhi,6,"Mumbai, Delhi, Bangalore, Hyderabad, Chennai, Kolkata",ok,
50,CHN,China,Asia,9706961,Beijing,8,"Beijing, Shanghai, Guangzhou, Shenzhen, Chengdu, Xi'an, Hangzhou, Chongqing",ok,
51,RUS,Russia,Asia,13100000,Moscow,10,"Primorsky, Sakha, Krasnoyarsk, Tomsk, Chita, Kamchatka, Tyumen, Nenets, Chukotka, Irkutsk",ok,
